TRANSPORT,START,END,A,B,SPEED
CARGO_532,1859-12-11 09:59:00,1859-12-11 15:56:00,Irondale,Gizbourne,88.4
CARGO_533,1859-12-11 15:56:00,1859-12-12 07:08:45,Gizbourne,Rustport,80.2
CARGO_534,1859-12-12 07:08:45,1859-12-13 09:19:33,Rustport,Steamdrift,74.37
CARGO_535,1859-12-13 09:19:33,1859-12-14 05:37:59,Steamdrift,Cogburg,62.49
CARGO_535,1859-12-14 05:37:59,1859-12-14 20:44:53,Cogburg,Irondale,68.41
CARGO_536,1859-12-14 20:44:53,1859-12-15 01:13:28,Irondale,Copperhold,77.07
CARGO_537,1859-12-15 01:13:28,1859-12-15 14:30:19,Copperhold,Cogburg,78.84
CARGO_537,1859-12-15 14:30:19,1859-12-16 06:20:40,Cogburg,Steamdrift,80.12
CARGO_538,1859-12-16 06:20:40,1859-12-17 00:37:42,Steamdrift,Cogburg,69.41
CARGO_538,1859-12-17 00:37:42,1859-12-17 15:14:43,Cogburg,Irondale,70.74
CARGO_538,1859-12-17 15:14:43,1859-12-17 22:45:26,Irondale,Gizbourne,70.02
CARGO_539,1859-12-17 22:45:26,1859-12-18 12:25:31,Gizbourne,Rustport,89.26
CARGO_540,1859-12-18 12:25:31,1859-12-19 04:13:54,Rustport,Irondale,82.37
CARGO_540,1859-12-19 04:13:54,1859-12-19 12:44:24,Irondale,Leverstorm,73.93
CARGO_541,1859-11-24 08:00:00,1859-11-24 17:59:36,Leverstorm,Irondale,62.94
CARGO_542,1859-11-24 17:59:36,1859-11-25 08:39:31,Irondale,Cogburg,70.51
CARGO_542,1859-11-25 08:39:31,1859-11-26 03:03:34,Cogburg,Steamdrift,68.96
CARGO_543,1859-11-26 03:03:34,1859-11-26 18:14:28,Steamdrift,Cogburg,83.59
CARGO_543,1859-11-26 18:14:28,1859-11-27 05:02:38,Cogburg,Irondale,95.72
CARGO_543,1859-11-27 05:02:38,1859-11-27 12:11:03,Irondale,Leverstorm,88.09
CARGO_544,1859-11-27 12:11:03,1859-11-27 20:25:50,Leverstorm,Irondale,76.28
CARGO_544,1859-11-27 20:25:50,1859-11-28 13:06:53,Irondale,Rustport,78.04
CARGO_545,1859-11-28 13:06:53,1859-11-29 07:21:24,Rustport,Irondale,71.37
CARGO_545,1859-11-29 07:21:24,1859-11-29 12:33:34,Irondale,Copperhold,66.31
CARGO_546,1859-11-29 12:33:34,1859-11-29 17:22:06,Copperhold,Irondale,71.74
CARGO_546,1859-11-29 17:22:06,1859-11-30 00:32:38,Irondale,Gizbourne,73.3
CARGO_547,1859-11-30 00:32:38,1859-11-30 06:35:04,Gizbourne,Irondale,87.08
CARGO_548,1859-11-30 06:35:04,1859-11-30 11:40:23,Irondale,Copperhold,67.8
CARGO_549,1859-11-30 11:40:23,1859-12-01 02:22:10,Copperhold,Cogburg,71.24
CARGO_550,1859-12-01 02:22:10,1859-12-01 14:03:42,Cogburg,Irondale,88.43
CARGO_551,1859-12-01 14:03:42,1859-12-01 20:59:07,Irondale,Gizbourne,75.97
CARGO_552,1859-12-01 20:59:07,1859-12-02 12:59:25,Gizbourne,Rustport,76.23
CARGO_553,1859-12-02 12:59:25,1859-12-03 05:03:59,Rustport,Gizbourne,75.89
CARGO_554,1859-12-03 05:03:59,1859-12-03 17:14:07,Gizbourne,Leverstorm,71.17
CARGO_555,1859-12-03 17:14:07,1859-12-04 02:22:00,Leverstorm,Irondale,68.88
CARGO_555,1859-12-04 02:22:00,1859-12-04 14:29:40,Irondale,Cogburg,85.26
CARGO_556,1859-12-04 14:29:40,1859-12-05 02:29:16,Cogburg,Irondale,86.21
CARGO_556,1859-12-05 02:29:16,1859-12-05 10:17:52,Irondale,Leverstorm,80.54
CARGO_557,1859-12-05 10:17:52,1859-12-05 19:28:40,Leverstorm,Irondale,68.52
CARGO_557,1859-12-05 19:28:40,1859-12-06 13:31:14,Irondale,Rustport,72.16
CARGO_558,1859-12-06 13:31:14,1859-12-07 07:00:32,Rustport,Irondale,74.45
CARGO_559,1859-12-07 07:00:32,1859-12-07 16:04:20,Irondale,Leverstorm,69.4
CARGO_560,1859-12-07 16:04:20,1859-12-08 00:29:11,Leverstorm,Copperhold,67.62
CARGO_560,1859-12-08 00:29:11,1859-12-08 15:34:16,Copperhold,Cogburg,69.41
CARGO_560,1859-12-08 15:34:16,1859-12-09 09:21:09,Cogburg,Steamdrift,71.37
CARGO_561,1859-12-09 09:21:09,1859-12-10 03:52:26,Steamdrift,Cogburg,68.52
CARGO_561,1859-12-10 03:52:26,1859-12-10 17:20:39,Cogburg,Irondale,76.76
CARGO_561,1859-12-10 17:20:39,1859-12-11 00:26:40,Irondale,Gizbourne,74.08
CARGO_562,1859-12-11 00:26:40,1859-12-11 06:15:39,Gizbourne,Irondale,90.44
CARGO_563,1859-12-11 06:15:39,1859-12-11 18:25:05,Irondale,Cogburg,85.05
CARGO_563,1859-12-11 18:25:05,1859-12-12 10:18:47,Cogburg,Steamdrift,79.84
CARGO_564,1859-12-12 10:18:47,1859-12-13 03:57:23,Steamdrift,Cogburg,71.92
CARGO_564,1859-12-13 03:57:23,1859-12-13 17:18:14,Cogburg,Irondale,77.47
CARGO_564,1859-12-13 17:18:14,1859-12-14 02:41:41,Irondale,Leverstorm,66.98
CARGO_565,1859-12-14 02:41:41,1859-12-14 14:20:03,Leverstorm,Gizbourne,74.4
CARGO_565,1859-12-14 14:20:03,1859-12-15 05:31:32,Gizbourne,Rustport,80.31
CARGO_566,1859-12-15 05:31:32,1859-12-15 23:56:31,Rustport,Irondale,70.7
CARGO_566,1859-12-15 23:56:31,1859-12-16 05:06:13,Irondale,Copperhold,66.84
CARGO_567,1859-12-16 05:06:13,1859-12-16 21:34:44,Copperhold,Cogburg,63.55
CARGO_568,1859-12-16 21:34:44,1859-12-17 14:46:33,Cogburg,Steamdrift,73.79
CARGO_569,1859-12-17 14:46:33,1859-12-18 07:24:24,Steamdrift,Cogburg,76.3
CARGO_569,1859-12-18 07:24:24,1859-12-18 20:59:44,Cogburg,Copperhold,77.05
CARGO_570,1859-12-18 20:59:44,1859-12-19 00:55:57,Copperhold,Irondale,87.63
CARGO_570,1859-12-19 00:55:57,1859-12-19 15:18:57,Irondale,Rustport,90.52
CARGO_571,1859-11-24 08:00:00,1859-11-25 11:39:19,Rustport,Steamdrift,70.4
CARGO_572,1859-11-25 11:39:19,1859-11-26 05:48:46,Steamdrift,Cogburg,69.89
CARGO_572,1859-11-26 05:48:46,1859-11-26 19:22:55,Cogburg,Irondale,76.2
CARGO_572,1859-11-26 19:22:55,1859-11-27 02:46:46,Irondale,Gizbourne,71.1
CARGO_573,1859-11-27 02:46:46,1859-11-27 08:07:22,Gizbourne,Irondale,98.44
CARGO_573,1859-11-27 08:07:22,1859-11-27 18:37:38,Irondale,Cogburg,98.43
CARGO_573,1859-11-27 18:37:38,1859-11-28 09:31:42,Cogburg,Steamdrift,85.16
CARGO_574,1859-11-28 09:31:42,1859-11-29 03:00:38,Steamdrift,Cogburg,72.59
CARGO_574,1859-11-29 03:00:38,1859-11-29 16:58:31,Cogburg,Irondale,74.04
CARGO_574,1859-11-29 16:58:31,1859-11-30 03:04:36,Irondale,Leverstorm,62.27
CARGO_575,1859-11-30 03:04:36,1859-11-30 11:10:29,Leverstorm,Irondale,77.67
CARGO_575,1859-11-30 11:10:29,1859-11-30 23:39:24,Irondale,Cogburg,82.84
CARGO_575,1859-11-30 23:39:24,1859-12-01 17:20:36,Cogburg,Steamdrift,71.75
CARGO_576,1859-12-01 17:20:36,1859-12-02 11:23:15,Steamdrift,Cogburg,70.33
CARGO_576,1859-12-02 11:23:15,1859-12-03 00:58:01,Cogburg,Irondale,76.14
CARGO_576,1859-12-03 00:58:01,1859-12-03 08:11:18,Irondale,Gizbourne,72.84
CARGO_577,1859-12-03 08:11:18,1859-12-03 19:49:36,Gizbourne,Leverstorm,74.41
CARGO_578,1859-12-03 19:49:36,1859-12-04 05:50:58,Leverstorm,Gizbourne,86.4
CARGO_579,1859-12-04 05:50:58,1859-12-04 12:06:09,Gizbourne,Irondale,84.12
CARGO_579,1859-12-04 12:06:09,1859-12-04 23:58:54,Irondale,Cogburg,87.04
CARGO_579,1859-12-04 23:58:54,1859-12-05 16:39:49,Cogburg,Steamdrift,76.07
CARGO_580,1859-12-05 16:39:49,1859-12-06 18:25:52,Steamdrift,Rustport,75.56
CARGO_581,1859-12-06 18:25:52,1859-12-07 10:28:47,Rustport,Gizbourne,76.02
CARGO_582,1859-12-07 10:28:47,1859-12-07 23:01:50,Gizbourne,Leverstorm,69.0
CARGO_583,1859-12-07 23:01:50,1859-12-08 06:57:19,Leverstorm,Irondale,79.37
CARGO_583,1859-12-08 06:57:19,1859-12-08 22:44:12,Irondale,Rustport,82.5
CARGO_584,1859-12-08 22:44:12,1859-12-09 14:36:58,Rustport,Irondale,81.99
CARGO_585,1859-12-09 14:36:58,1859-12-10 04:09:41,Irondale,Cogburg,76.34
CARGO_586,1859-12-10 04:09:41,1859-12-10 19:45:42,Cogburg,Rustport,91.09
CARGO_587,1859-12-10 19:45:42,1859-12-11 09:58:50,Rustport,Irondale,91.57
CARGO_587,1859-12-11 09:58:50,1859-12-11 17:07:53,Irondale,Leverstorm,87.96
CARGO_588,1859-12-11 17:07:53,1859-12-12 01:27:16,Leverstorm,Irondale,75.57
CARGO_588,1859-12-12 01:27:16,1859-12-12 13:32:44,Irondale,Cogburg,85.52
CARGO_588,1859-12-12 13:32:44,1859-12-13 05:48:07,Cogburg,Steamdrift,78.06
CARGO_589,1859-12-13 05:48:07,1859-12-14 01:29:47,Steamdrift,Cogburg,64.43
CARGO_589,1859-12-14 01:29:47,1859-12-14 14:23:09,Cogburg,Irondale,80.22
CARGO_589,1859-12-14 14:23:09,1859-12-14 23:37:16,Irondale,Leverstorm,68.11
CARGO_590,1859-12-14 23:37:16,1859-12-15 11:00:45,Leverstorm,Gizbourne,76.02
CARGO_591,1859-12-15 11:00:45,1859-12-15 18:26:51,Gizbourne,Irondale,70.75
CARGO_591,1859-12-15 18:26:51,1859-12-16 08:46:04,Irondale,Cogburg,72.2
CARGO_591,1859-12-16 08:46:04,1859-12-17 03:37:51,Cogburg,Steamdrift,67.27
CARGO_592,1859-12-17 03:37:51,1859-12-17 17:50:24,Steamdrift,Cogburg,89.31
CARGO_593,1859-12-17 17:50:24,1859-12-18 06:02:44,Cogburg,Irondale,84.71
CARGO_593,1859-12-18 06:02:44,1859-12-18 12:10:32,Irondale,Gizbourne,85.81
CARGO_594,1859-12-18 12:10:32,1859-12-18 18:56:07,Gizbourne,Irondale,77.82
CARGO_595,1859-12-18 18:56:07,1859-12-19 06:54:34,Irondale,Cogburg,86.35
CARGO_595,1859-12-19 06:54:34,1859-12-20 00:46:04,Cogburg,Steamdrift,71.06
CARGO_596,1859-12-20 00:46:04,1859-12-20 17:03:37,Steamdrift,Cogburg,77.89
CARGO_596,1859-12-20 17:03:37,1859-12-21 06:15:27,Cogburg,Copperhold,79.33
CARGO_597,1859-12-21 06:15:27,1859-12-21 11:26:45,Copperhold,Irondale,66.5
CARGO_597,1859-12-21 11:26:45,1859-12-22 07:33:14,Irondale,Rustport,64.75
CARGO_598,1859-12-22 07:33:14,1859-12-23 00:50:16,Rustport,Irondale,75.33
CARGO_598,1859-12-23 00:50:16,1859-12-23 10:15:37,Irondale,Leverstorm,66.76
CARGO_599,1859-12-23 10:15:37,1859-12-23 19:29:02,Leverstorm,Irondale,68.19
CARGO_599,1859-12-23 19:29:02,1859-12-24 09:29:57,Irondale,Cogburg,73.78
CARGO_600,1859-12-24 09:29:57,1859-12-24 20:46:54,Cogburg,Irondale,91.65
CARGO_600,1859-12-24 20:46:54,1859-12-25 03:20:32,Irondale,Gizbourne,80.18
CARGO_601,1859-11-24 08:00:00,1859-11-24 21:42:50,Gizbourne,Leverstorm,63.15
CARGO_602,1859-11-24 21:42:50,1859-11-25 05:00:01,Leverstorm,Copperhold,78.09
CARGO_602,1859-11-25 05:00:01,1859-11-25 18:12:49,Copperhold,Cogburg,79.24
CARGO_602,1859-11-25 18:12:49,1859-11-26 10:35:22,Cogburg,Steamdrift,77.49
CARGO_603,1859-11-26 10:35:22,1859-11-27 10:14:51,Steamdrift,Rustport,82.3
CARGO_604,1859-11-27 10:14:51,1859-11-28 02:07:34,Rustport,Irondale,82.0
CARGO_605,1859-11-28 02:07:34,1859-11-28 14:26:18,Irondale,Cogburg,83.98
CARGO_605,1859-11-28 14:26:18,1859-11-29 08:17:40,Cogburg,Steamdrift,71.07
CARGO_606,1859-11-29 08:17:40,1859-11-30 11:53:12,Steamdrift,Rustport,70.56
CARGO_607,1859-11-30 11:53:12,1859-12-01 07:18:58,Rustport,Cogburg,73.14
CARGO_608,1859-12-01 07:18:58,1859-12-02 01:55:13,Cogburg,Steamdrift,68.21
CARGO_609,1859-12-02 01:55:13,1859-12-02 19:00:54,Steamdrift,Cogburg,74.23
CARGO_609,1859-12-02 19:00:54,1859-12-03 08:55:52,Cogburg,Copperhold,75.24
CARGO_610,1859-12-03 08:55:52,1859-12-03 16:23:35,Copperhold,Leverstorm,76.26
CARGO_611,1859-12-03 16:23:35,1859-12-03 23:34:57,Leverstorm,Copperhold,79.14
CARGO_612,1859-12-03 23:34:57,1859-12-04 11:20:12,Copperhold,Cogburg,89.08
CARGO_613,1859-12-04 11:20:12,1859-12-04 23:35:39,Cogburg,Irondale,84.35
CARGO_613,1859-12-04 23:35:39,1859-12-05 07:23:00,Irondale,Leverstorm,80.75
CARGO_614,1859-12-05 07:23:00,1859-12-05 16:43:32,Leverstorm,Irondale,67.33
CARGO_614,1859-12-05 16:43:32,1859-12-06 11:26:32,Irondale,Rustport,69.56
CARGO_615,1859-12-06 11:26:32,1859-12-07 05:13:03,Rustport,Irondale,73.25
CARGO_615,1859-12-07 05:13:03,1859-12-07 13:56:06,Irondale,Leverstorm,72.15
CARGO_616,1859-12-07 13:56:06,1859-12-07 23:08:37,Leverstorm,Irondale,68.3
CARGO_616,1859-12-07 23:08:37,1859-12-08 12:39:38,Irondale,Cogburg,76.5
CARGO_616,1859-12-08 12:39:38,1859-12-09 08:59:24,Cogburg,Steamdrift,62.42
CARGO_617,1859-12-09 08:59:24,1859-12-10 03:22:36,Steamdrift,Cogburg,69.02
CARGO_617,1859-12-10 03:22:36,1859-12-10 20:21:03,Cogburg,Copperhold,61.68
CARGO_618,1859-12-10 20:21:03,1859-12-11 00:14:59,Copperhold,Irondale,88.49
CARGO_619,1859-12-11 00:14:59,1859-12-11 04:09:09,Irondale,Copperhold,88.4
CARGO_620,1859-12-11 04:09:09,1859-12-11 07:59:58,Copperhold,Irondale,89.68
CARGO_620,1859-12-11 07:59:58,1859-12-11 13:47:20,Irondale,Gizbourne,90.85
CARGO_621,1859-12-11 13:47:20,1859-12-11 20:07:21,Gizbourne,Irondale,83.05
CARGO_621,1859-12-11 20:07:21,1859-12-12 07:51:41,Irondale,Cogburg,88.08
CARGO_622,1859-12-12 07:51:41,1859-12-12 22:12:27,Cogburg,Irondale,72.08
CARGO_623,1859-12-12 22:12:27,1859-12-13 10:54:08,Irondale,Cogburg,81.45
CARGO_623,1859-12-13 10:54:08,1859-12-14 02:34:51,Cogburg,Steamdrift,80.94
CARGO_624,1859-12-14 02:34:51,1859-12-14 19:12:10,Steamdrift,Cogburg,76.34
CARGO_624,1859-12-14 19:12:10,1859-12-15 09:28:35,Cogburg,Copperhold,73.35
CARGO_625,1859-12-15 09:28:35,1859-12-15 17:40:58,Copperhold,Leverstorm,69.34
CARGO_626,1859-12-15 17:40:58,1859-12-16 02:47:31,Leverstorm,Irondale,69.05
CARGO_626,1859-12-16 02:47:31,1859-12-16 21:38:16,Irondale,Rustport,69.09
CARGO_627,1859-12-16 21:38:16,1859-12-17 14:10:06,Rustport,Irondale,78.76
CARGO_628,1859-12-17 14:10:06,1859-12-18 02:56:19,Irondale,Cogburg,80.97
CARGO_628,1859-12-18 02:56:19,1859-12-18 19:05:45,Cogburg,Steamdrift,78.54
CARGO_629,1859-12-18 19:05:45,1859-12-19 15:13:52,Steamdrift,Rustport,96.69
CARGO_630,1859-12-19 15:13:52,1859-12-20 07:29:16,Rustport,Gizbourne,75.05
CARGO_631,1859-11-24 08:00:00,1859-11-24 15:37:56,Gizbourne,Irondale,68.92
CARGO_631,1859-11-24 15:37:56,1859-11-24 20:54:27,Irondale,Copperhold,65.4
CARGO_632,1859-11-24 20:54:27,1859-11-25 01:10:50,Copperhold,Irondale,80.74
CARGO_633,1859-11-25 01:10:50,1859-11-25 09:04:32,Irondale,Leverstorm,79.67
CARGO_634,1859-11-25 09:04:32,1859-11-25 17:06:48,Leverstorm,Copperhold,70.79
CARGO_635,1859-11-25 17:06:48,1859-11-26 08:08:57,Copperhold,Cogburg,69.63
CARGO_635,1859-11-26 08:08:57,1859-11-27 02:50:34,Cogburg,Steamdrift,67.88
CARGO_636,1859-11-27 02:50:34,1859-11-27 17:24:41,Steamdrift,Cogburg,87.11
CARGO_636,1859-11-27 17:24:41,1859-11-28 03:44:19,Cogburg,Irondale,100.12
CARGO_636,1859-11-28 03:44:19,1859-11-28 10:59:08,Irondale,Leverstorm,86.79
CARGO_637,1859-11-28 10:59:08,1859-11-28 20:20:33,Leverstorm,Irondale,67.22
CARGO_638,1859-11-28 20:20:33,1859-11-29 00:50:02,Irondale,Copperhold,76.82
CARGO_639,1859-11-29 00:50:02,1859-11-29 14:48:20,Copperhold,Cogburg,74.94
CARGO_640,1859-11-29 14:48:20,1859-11-30 05:15:47,Cogburg,Copperhold,72.42
CARGO_640,1859-11-30 05:15:47,1859-11-30 13:28:33,Copperhold,Leverstorm,69.28
CARGO_641,1859-11-30 13:28:33,1859-11-30 22:51:33,Leverstorm,Irondale,67.03
CARGO_642,1859-11-30 22:51:33,1859-12-01 12:07:47,Irondale,Cogburg,77.92
CARGO_643,1859-12-01 12:07:47,1859-12-02 01:33:54,Cogburg,Irondale,76.96
CARGO_643,1859-12-02 01:33:54,1859-12-02 10:44:16,Irondale,Leverstorm,68.57
CARGO_644,1859-12-02 10:44:16,1859-12-03 00:20:17,Leverstorm,Gizbourne,63.67
CARGO_645,1859-12-03 00:20:17,1859-12-03 05:53:28,Gizbourne,Irondale,94.73
CARGO_645,1859-12-03 05:53:28,1859-12-03 16:30:31,Irondale,Cogburg,97.38
CARGO_645,1859-12-03 16:30:31,1859-12-04 06:44:37,Cogburg,Steamdrift,89.15
CARGO_646,1859-12-04 06:44:37,1859-12-04 23:02:43,Steamdrift,Cogburg,77.84
CARGO_646,1859-12-04 23:02:43,1859-12-05 10:57:41,Cogburg,Irondale,86.77
CARGO_646,1859-12-05 10:57:41,1859-12-05 17:03:19,Irondale,Gizbourne,86.31
CARGO_647,1859-12-05 17:03:19,1859-12-06 10:42:20,Gizbourne,Rustport,69.12
CARGO_648,1859-12-06 10:42:20,1859-12-07 04:58:01,Rustport,Irondale,71.3
CARGO_649,1859-12-07 04:58:01,1859-12-07 17:50:52,Irondale,Cogburg,80.27
CARGO_649,1859-12-07 17:50:52,1859-12-08 09:41:20,Cogburg,Steamdrift,80.11
CARGO_650,1859-12-08 09:41:20,1859-12-09 04:49:40,Steamdrift,Cogburg,66.31
CARGO_650,1859-12-09 04:49:40,1859-12-09 18:53:00,Cogburg,Irondale,73.56
CARGO_651,1859-12-09 18:53:00,1859-12-10 04:33:23,Irondale,Leverstorm,65.03
CARGO_652,1859-12-10 04:33:23,1859-12-10 11:27:25,Leverstorm,Irondale,91.15
CARGO_652,1859-12-10 11:27:25,1859-12-10 22:41:09,Irondale,Cogburg,92.08
CARGO_652,1859-12-10 22:41:09,1859-12-11 12:55:45,Cogburg,Steamdrift,89.09
CARGO_653,1859-12-11 12:55:45,1859-12-12 04:58:55,Steamdrift,Cogburg,79.05
CARGO_653,1859-12-12 04:58:55,1859-12-12 17:20:55,Cogburg,Irondale,83.61
CARGO_653,1859-12-12 17:20:55,1859-12-13 01:32:07,Irondale,Leverstorm,76.83
CARGO_654,1859-12-13 01:32:07,1859-12-13 08:29:40,Leverstorm,Copperhold,81.76
CARGO_655,1859-12-13 08:29:40,1859-12-13 23:28:54,Copperhold,Cogburg,69.86
CARGO_655,1859-12-13 23:28:54,1859-12-14 19:23:45,Cogburg,Steamdrift,63.72
CARGO_656,1859-12-14 19:23:45,1859-12-15 11:13:18,Steamdrift,Cogburg,80.19
CARGO_657,1859-12-15 11:13:18,1859-12-16 00:42:07,Cogburg,Irondale,76.71
CARGO_658,1859-12-16 00:42:07,1859-12-16 06:47:42,Irondale,Gizbourne,86.33
CARGO_659,1859-12-16 06:47:42,1859-12-16 14:19:14,Gizbourne,Irondale,69.9
CARGO_659,1859-12-16 14:19:14,1859-12-17 04:22:04,Irondale,Cogburg,73.61
CARGO_660,1859-12-17 04:22:04,1859-12-17 15:11:29,Cogburg,Irondale,95.53
CARGO_661,1859-11-24 08:00:00,1859-11-24 22:44:00,Irondale,Cogburg,70.18
CARGO_662,1859-11-24 22:44:00,1859-11-25 10:52:33,Cogburg,Irondale,85.15
CARGO_663,1859-11-25 10:52:33,1859-11-26 05:12:08,Irondale,Rustport,71.04
CARGO_664,1859-11-26 05:12:08,1859-11-26 19:34:23,Rustport,Gizbourne,84.9
CARGO_665,1859-11-26 19:34:23,1859-11-27 01:17:32,Gizbourne,Irondale,91.97
CARGO_666,1859-11-27 01:17:32,1859-11-27 11:12:24,Irondale,Cogburg,104.29
CARGO_666,1859-11-27 11:12:24,1859-11-28 01:17:14,Cogburg,Steamdrift,90.12
CARGO_667,1859-11-28 01:17:14,1859-11-28 17:45:20,Steamdrift,Cogburg,77.06
CARGO_667,1859-11-28 17:45:20,1859-11-29 06:04:09,Cogburg,Irondale,83.97
CARGO_667,1859-11-29 06:04:09,1859-11-29 14:05:05,Irondale,Leverstorm,78.47
CARGO_668,1859-11-29 14:05:05,1859-11-29 23:20:03,Leverstorm,Irondale,68.01
CARGO_668,1859-11-29 23:20:03,1859-11-30 12:44:10,Irondale,Cogburg,77.15
CARGO_669,1859-11-30 12:44:10,1859-12-01 02:44:17,Cogburg,Irondale,73.85
CARGO_670,1859-12-01 02:44:17,1859-12-01 15:57:32,Irondale,Cogburg,78.21
CARGO_670,1859-12-01 15:57:32,1859-12-02 09:49:28,Cogburg,Steamdrift,71.03
CARGO_671,1859-12-02 09:49:28,1859-12-03 04:40:10,Steamdrift,Cogburg,67.34
CARGO_671,1859-12-03 04:40:10,1859-12-03 17:54:35,Cogburg,Irondale,78.1
CARGO_672,1859-12-03 17:54:35,1859-12-04 00:20:31,Irondale,Gizbourne,81.77
CARGO_673,1859-12-04 00:20:31,1859-12-04 05:46:54,Gizbourne,Irondale,96.7
CARGO_673,1859-12-04 05:46:54,1859-12-04 16:51:15,Irondale,Cogburg,93.38
CARGO_674,1859-12-04 16:51:15,1859-12-05 09:16:21,Cogburg,Rustport,86.55
CARGO_675,1859-12-05 09:16:21,1859-12-06 10:20:18,Rustport,Steamdrift,77.68
CARGO_676,1859-12-06 10:20:18,1859-12-07 05:09:27,Steamdrift,Cogburg,67.43
CARGO_676,1859-12-07 05:09:27,1859-12-07 18:47:43,Cogburg,Irondale,75.82
CARGO_676,1859-12-07 18:47:43,1859-12-08 01:45:52,Irondale,Gizbourne,75.48
CARGO_677,1859-12-08 01:45:52,1859-12-08 08:08:46,Gizbourne,Irondale,82.42
CARGO_677,1859-12-08 08:08:46,1859-12-08 20:58:35,Irondale,Cogburg,80.59
CARGO_677,1859-12-08 20:58:35,1859-12-09 14:55:37,Cogburg,Steamdrift,70.69
CARGO_678,1859-12-09 14:55:37,1859-12-10 09:02:54,Steamdrift,Cogburg,70.03
CARGO_678,1859-12-10 09:02:54,1859-12-10 22:43:23,Cogburg,Irondale,75.62
CARGO_678,1859-12-10 22:43:23,1859-12-11 07:49:46,Irondale,Leverstorm,69.07
CARGO_679,1859-12-11 07:49:46,1859-12-11 16:14:39,Leverstorm,Irondale,74.75
CARGO_679,1859-12-11 16:14:39,1859-12-12 04:40:40,Irondale,Cogburg,83.16
CARGO_680,1859-12-12 04:40:40,1859-12-12 16:30:19,Cogburg,Irondale,87.42
CARGO_680,1859-12-12 16:30:19,1859-12-12 22:51:55,Irondale,Gizbourne,82.71
CARGO_681,1859-12-12 22:51:55,1859-12-13 05:19:15,Gizbourne,Irondale,81.48
CARGO_681,1859-12-13 05:19:15,1859-12-13 09:45:52,Irondale,Copperhold,77.64
CARGO_682,1859-12-13 09:45:52,1859-12-14 00:51:17,Copperhold,Cogburg,69.38
CARGO_683,1859-12-14 00:51:17,1859-12-14 14:13:00,Cogburg,Copperhold,78.36
CARGO_684,1859-12-14 14:13:00,1859-12-14 19:38:51,Copperhold,Irondale,63.52
CARGO_684,1859-12-14 19:38:51,1859-12-15 15:35:18,Irondale,Rustport,65.29
CARGO_685,1859-12-15 15:35:18,1859-12-16 09:40:46,Rustport,Irondale,71.97
CARGO_685,1859-12-16 09:40:46,1859-12-16 18:18:46,Irondale,Leverstorm,72.86
CARGO_686,1859-12-16 18:18:46,1859-12-17 02:57:34,Leverstorm,Copperhold,65.8
CARGO_687,1859-12-17 02:57:34,1859-12-17 06:46:16,Copperhold,Irondale,90.51
CARGO_687,1859-12-17 06:46:16,1859-12-17 12:22:28,Irondale,Gizbourne,93.87
CARGO_688,1859-12-17 12:22:28,1859-12-18 03:29:25,Gizbourne,Rustport,80.71
CARGO_689,1859-12-18 03:29:25,1859-12-18 16:38:34,Rustport,Gizbourne,92.76
CARGO_690,1859-12-18 16:38:34,1859-12-18 22:50:46,Gizbourne,Irondale,84.79
CARGO_690,1859-12-18 22:50:46,1859-12-19 10:58:12,Irondale,Cogburg,85.29
CARGO_690,1859-12-19 10:58:12,1859-12-20 03:30:41,Cogburg,Steamdrift,76.72
CARGO_691,1859-11-24 08:00:00,1859-11-25 02:35:11,Steamdrift,Cogburg,68.28
CARGO_692,1859-11-25 02:35:11,1859-11-25 15:31:03,Cogburg,Irondale,79.96
CARGO_692,1859-11-25 15:31:03,1859-11-25 23:40:26,Irondale,Leverstorm,77.12
CARGO_693,1859-11-25 23:40:26,1859-11-26 07:49:25,Leverstorm,Irondale,77.18
CARGO_694,1859-11-26 07:49:25,1859-11-26 20:52:39,Irondale,Cogburg,79.21
CARGO_694,1859-11-26 20:52:39,1859-11-27 13:02:20,Cogburg,Steamdrift,78.52
CARGO_695,1859-11-27 13:02:20,1859-11-28 05:25:02,Steamdrift,Cogburg,77.48
CARGO_695,1859-11-28 05:25:02,1859-11-28 17:17:02,Cogburg,Irondale,87.14
CARGO_695,1859-11-28 17:17:02,1859-11-29 01:06:06,Irondale,Leverstorm,80.46
CARGO_696,1859-11-29 01:06:06,1859-11-29 09:43:01,Leverstorm,Irondale,73.01
CARGO_697,1859-11-29 09:43:01,1859-11-29 19:37:59,Irondale,Leverstorm,63.43
CARGO_698,1859-11-29 19:37:59,1859-11-30 04:04:12,Leverstorm,Irondale,74.55
CARGO_698,1859-11-30 04:04:12,1859-11-30 16:22:13,Irondale,Cogburg,84.06
CARGO_699,1859-11-30 16:22:13,1859-12-01 07:26:55,Cogburg,Copperhold,69.44
CARGO_700,1859-12-01 07:26:55,1859-12-01 23:05:35,Copperhold,Cogburg,66.93
CARGO_700,1859-12-01 23:05:35,1859-12-02 18:42:13,Cogburg,Steamdrift,64.71
CARGO_701,1859-12-02 18:42:13,1859-12-03 14:57:38,Steamdrift,Cogburg,62.65
CARGO_701,1859-12-03 14:57:38,1859-12-04 06:24:43,Cogburg,Copperhold,67.76
CARGO_702,1859-12-04 06:24:43,1859-12-04 20:42:42,Copperhold,Cogburg,73.22
CARGO_702,1859-12-04 20:42:42,1859-12-05 15:15:54,Cogburg,Steamdrift,68.4
